dataset,hidden_size,k_top,initialization,test_loss,dead_neurons,dead_neuron_pct,active_features,mean_activation_freq,mean_activation_strength
olivetti,256,10,SAE_Init,0.42021312316258747,183,71.484375,73,0.0390625,0.25330338963907056
olivetti,256,10,SAE_AuxLoss,0.8966170946756998,226,88.28125,30,0.0390625,0.13353711714347202
olivetti,256,10,Complete,0.8404262463251749,183,71.484375,73,0.0390625,0.25330338963907056
olivetti,256,20,SAE,0.37432849407196045,196,76.5625,60,0.07807617,0.08966194062183301
olivetti,256,20,SAE_Init,0.39041028420130414,154,60.15625,102,0.078125,0.18397536333285125
olivetti,256,20,SAE_AuxLoss,0.7600046992301941,210,82.03125,46,0.078063965,0.0862474333413917
olivetti,256,20,Complete,0.7808205684026083,154,60.15625,102,0.078125,0.18397536333285125
olivetti,256,30,SAE,0.3680243492126465,186,72.65625,70,0.1105835,0.05377775984151023
olivetti,256,30,SAE_Init,0.3539862235387166,134,52.34375,122,0.1171875,0.1439744765396978
olivetti,256,30,SAE_AuxLoss,0.7537895441055298,198,77.34375,58,0.11674805,0.0595763366476729
olivetti,256,30,Complete,0.7079724470774332,134,52.34375,122,0.1171875,0.1439744765396978
olivetti,256,40,SAE,0.3937811454137166,172,67.1875,84,0.10385742,0.02740116100730596
olivetti,256,40,SAE_Init,0.33445409933725995,124,48.4375,132,0.15625,0.1261910486853484
olivetti,256,40,SAE_AuxLoss,0.843964417775472,186,72.65625,70,0.15490723,0.038879622073311894
olivetti,256,40,Complete,0.6689081986745199,124,48.4375,132,0.15625,0.1261910486853484
olivetti,256,50,SAE,0.44609888394673664,205,80.078125,51,0.06762695,0.03365948704167215
olivetti,256,50,SAE_Init,0.3115304311116536,119,46.484375,137,0.1953125,0.11429461575772641
olivetti,256,50,SAE_AuxLoss,0.8716497222582499,178,69.53125,76,0.18619385,0.029425295936227103
olivetti,256,50,Complete,0.6230608622233073,119,46.484375,137,0.1953125,0.11429461575772641
olivetti,256,60,SAE,0.4539046088854472,208,81.25,48,0.06763916,0.03766291384878665
olivetti,256,60,SAE_Init,0.2926752169926961,108,42.1875,148,0.234375,0.10505942572411653
olivetti,256,60,SAE_AuxLoss,0.9320203065872192,155,60.546875,48,0.11773682,0.03700278254109435
olivetti,256,60,Complete,0.5853504339853922,108,42.1875,148,0.234375,0.10505942572411653
olivetti,256,70,SAE,0.4740626911322276,199,77.734375,57,0.06334229,0.02682216937363703
olivetti,256,70,SAE_Init,0.2843562364578247,105,41.015625,151,0.2734375,0.0974750066829833
olivetti,256,70,SAE_AuxLoss,0.9928339521090189,138,53.90625,42,0.11672363,0.03622496379761114
olivetti,256,70,Complete,0.5687124729156494,105,41.015625,151,0.2734375,0.0974750066829833
olivetti,256,80,SAE,0.49281471967697144,199,77.734375,57,0.065698236,0.02788216434419155
olivetti,256,80,SAE_Init,0.2669833302497864,103,40.234375,153,0.3125,0.09303048321234635
olivetti,256,80,SAE_AuxLoss,1.0286486943562825,124,48.4375,46,0.12584229,0.04012141362688018
olivetti,256,80,Complete,0.5339666604995728,103,40.234375,153,0.3125,0.09303048321234635
olivetti,256,90,SAE,0.5031224687894186,183,71.484375,73,0.096069336,0.023600205430726693
olivetti,256,90,SAE_Init,0.25928070147832233,94,36.71875,162,0.3515625,0.08836816384652514
olivetti,256,90,SAE_AuxLoss,1.046360929807027,99,38.671875,49,0.12897949,0.02939606145943743
olivetti,256,90,Complete,0.5185614029566447,94,36.71875,162,0.3515625,0.08836816384652514
olivetti,256,100,SAE,0.5407988826433817,171,66.796875,85,0.095263675,0.0199513704617001
olivetti,256,100,SAE_Init,0.25607319672902423,81,31.640625,175,0.390625,0.08373467311263084
olivetti,256,100,SAE_AuxLoss,1.1142462094624836,93,36.328125,59,0.14141846,-0.0006160223225163201
olivetti,256,100,Complete,0.5121463934580485,81,31.640625,175,0.390625,0.08373467311263084
olivetti,256,110,SAE,0.5317050715287527,193,75.390625,63,0.09787598,0.026083830105707174
olivetti,256,110,SAE_Init,0.25935766100883484,64,25.0,192,0.42894286,0.07592211506562307
olivetti,256,110,SAE_AuxLoss,1.149097164471944,87,33.984375,64,0.15170899,-0.0015658254333175137
olivetti,256,110,Complete,0.5187153220176697,64,25.0,192,0.42894286,0.07592211506562307
olivetti,256,120,SAE,0.599093496799469,189,73.828125,67,0.11020508,0.022408898534086435
olivetti,256,120,SAE_Init,0.26348869999249774,49,19.140625,207,0.46191406,0.06963911054179
olivetti,256,120,SAE_AuxLoss,1.1895501216252644,76,29.6875,68,0.16019288,-0.019357824949753088
olivetti,256,120,Complete,0.5269773999849955,49,19.140625,207,0.46191406,0.06963911054179
olivetti,512,5,SAE,0.49763883153597516,482,94.140625,30,0.009765625,0.24426581760247548
olivetti,512,5,SAE_Init,0.4655490517616272,443,86.5234375,69,0.009698486,0.3678484647602275
olivetti,512,5,SAE_AuxLoss,1.0453816254933674,492,96.09375,20,0.009765625,0.22693099752068518
olivetti,512,5,Complete,0.9310981035232544,443,86.5234375,69,0.009698486,0.3678484647602275
olivetti,512,10,SAE,0.435616801182429,460,89.84375,52,0.01953125,0.1742260831479843
olivetti,512,10,SAE_Init,0.41723182797431946,415,81.0546875,97,0.01953125,0.2611108809402308
olivetti,512,10,SAE_AuxLoss,0.8789158463478088,472,92.1875,40,0.01953125,0.16779303587973118
olivetti,512,10,Complete,0.8344636559486389,415,81.0546875,97,0.01953125,0.2611108809402308
olivetti,512,20,SAE,0.38665146629015607,418,81.640625,94,0.0390625,0.12507466115850083
olivetti,512,20,SAE_Init,0.38576793670654297,385,75.1953125,127,0.0390625,0.18534444295984553
olivetti,512,20,SAE_AuxLoss,0.7399025360743204,432,84.375,80,0.0390625,0.1297563618980348
olivetti,512,20,Complete,0.7715358734130859,385,75.1953125,127,0.0390625,0.18534444295984553
olivetti,512,30,SAE,0.3412708640098572,390,76.171875,122,0.05859375,0.10623188377892384
olivetti,512,30,SAE_Init,0.35349956154823303,364,71.09375,148,0.058593746,0.1483415109986389
olivetti,512,30,SAE_AuxLoss,0.6727691491444906,424,82.8125,88,0.05859375,0.10397439847954294
olivetti,512,30,Complete,0.7069991230964661,364,71.09375,148,0.058593746,0.1483415109986389
olivetti,512,40,SAE,0.3137824734052022,369,72.0703125,143,0.078125,0.08929503401676259
olivetti,512,40,SAE_Init,0.3316099941730499,335,65.4296875,177,0.078125,0.1309564481515669
olivetti,512,40,SAE_AuxLoss,0.6400030851364136,430,83.984375,82,0.078125,0.0887368366394828
olivetti,512,40,Complete,0.6632199883460999,335,65.4296875,177,0.078125,0.1309564481515669
olivetti,512,50,SAE,0.29929305116335553,351,68.5546875,161,0.09680176,0.07285213079419195
olivetti,512,50,SAE_Init,0.30804075797398883,334,65.234375,178,0.09765625,0.11680292907390702
olivetti,512,50,SAE_AuxLoss,0.6130834023157755,426,83.203125,86,0.09765625,0.07707400875555914
olivetti,512,50,Complete,0.6160815159479777,334,65.234375,178,0.09765625,0.11680292907390702
olivetti,512,60,SAE,0.3055775761604309,345,67.3828125,167,0.11476439,0.05687590489375913
olivetti,512,60,SAE_Init,0.2965506414572398,326,63.671875,186,0.1171875,0.11192577889048926
olivetti,512,60,SAE_AuxLoss,0.63796067237854,419,81.8359375,93,0.1171875,0.06468859965842898
olivetti,512,60,Complete,0.5931012829144796,326,63.671875,186,0.1171875,0.11192577889048926
olivetti,512,70,SAE,0.3315444191296895,328,64.0625,184,0.13190308,0.03991805726621786
olivetti,512,70,SAE_Init,0.28015772501627606,298,58.203125,214,0.13671875,0.10824603075596774
olivetti,512,70,SAE_AuxLoss,0.6693911949793497,406,79.296875,106,0.13671875,0.05528032161154837
olivetti,512,70,Complete,0.5603154500325521,298,58.203125,214,0.13671875,0.10824603075596774
olivetti,512,80,SAE,0.3543996711572011,312,60.9375,200,0.12962036,0.022907902920269407
olivetti,512,80,SAE_Init,0.2765491803487142,274,53.515625,238,0.15625,0.10588310827978518
olivetti,512,80,SAE_AuxLoss,0.7041099667549133,393,76.7578125,119,0.15625,0.0475774638965225
olivetti,512,80,Complete,0.5530983606974283,274,53.515625,238,0.15625,0.10588310827978518
olivetti,512,90,SAE,0.35924532016118366,280,54.6875,232,0.122601315,0.01869747048476711
olivetti,512,90,SAE_Init,0.2584354877471924,242,47.265625,270,0.17578125,0.10487698141347479
olivetti,512,90,SAE_AuxLoss,0.7624355355898539,388,75.78125,124,0.17490844,0.03896142163073584
olivetti,512,90,Complete,0.5168709754943848,242,47.265625,270,0.17578125,0.10487698141347479
olivetti,512,100,SAE,0.3874223232269287,264,51.5625,248,0.12758179,0.016721365690999287
olivetti,512,100,SAE_Init,0.2519046515226364,225,43.9453125,287,0.1951233,0.09674158570346932
olivetti,512,100,SAE_AuxLoss,0.7985429763793945,364,71.09375,148,0.19404908,0.033169906149064565
olivetti,512,100,Complete,0.5038093030452728,225,43.9453125,287,0.1951233,0.09674158570346932
olivetti,512,110,SAE,0.39603477716445923,266,51.953125,246,0.115838625,0.014527866729829513
olivetti,512,110,SAE_Init,0.24936442077159882,181,35.3515625,331,0.21408081,0.09386738016075959
olivetti,512,110,SAE_AuxLoss,0.8125423590342203,335,65.4296875,176,0.21315308,0.02791390052351
olivetti,512,110,Complete,0.49872884154319763,181,35.3515625,331,0.21408081,0.09386738016075959
olivetti,512,120,SAE,0.4152795573075612,264,51.5625,248,0.0986145,0.013585636490871923
olivetti,512,120,SAE_Init,0.24583433071772257,168,32.8125,344,0.2326355,0.08829917690478438
olivetti,512,120,SAE_AuxLoss,0.8500315546989441,321,62.6953125,190,0.23292236,0.025193104611581044
olivetti,512,120,Complete,0.49166866143544513,168,32.8125,344,0.2326355,0.08829917690478438
olivetti,1024,5,SAE,0.5069629947344462,998,97.4609375,26,0.0048767086,0.27213130776698774
olivetti,1024,5,SAE_Init,0.4519844949245453,949,92.67578125,75,0.0048828125,0.3761717754602432
olivetti,1024,5,SAE_AuxLoss,1.0376473665237427,1002,97.8515625,22,0.0048828125,0.26762778041037644
olivetti,1024,5,Complete,0.9039689898490906,949,92.67578125,75,0.0048828125,0.3761717754602432
olivetti,1024,10,SAE,0.43785326679547626,969,94.62890625,55,0.009765625,0.1969165868379853
olivetti,1024,10,SAE_Init,0.4121590554714203,910,88.8671875,114,0.009765625,0.2661597709122457
olivetti,1024,10,SAE_AuxLoss,0.8810493548711141,983,95.99609375,41,0.009765625,0.1956238090628531
olivetti,1024,10,Complete,0.8243181109428406,910,88.8671875,114,0.009765625,0.2661597709122457
olivetti,1024,20,SAE,0.3837135036786397,893,87.20703125,131,0.01953125,0.15453568385302566
olivetti,1024,20,SAE_Init,0.39368419845898944,889,86.81640625,135,0.01953125,0.18353012706394548
olivetti,1024,20,SAE_AuxLoss,0.7705151240030924,920,89.84375,104,0.01953125,0.15140581754251167
olivetti,1024,20,Complete,0.7873683969179789,889,86.81640625,135,0.01953125,0.18353012706394548
olivetti,1024,30,SAE,0.3567629853884379,814,79.4921875,210,0.029296875,0.13379022667095775
olivetti,1024,30,SAE_Init,0.3518693447113037,854,83.3984375,170,0.029296875,0.15459858415757907
olivetti,1024,30,SAE_AuxLoss,0.6972584327061971,848,82.8125,176,0.029296875,0.13449530295011672
olivetti,1024,30,Complete,0.7037386894226074,854,83.3984375,170,0.029296875,0.15459858415757907
olivetti,1024,40,SAE,0.3346966902414958,773,75.48828125,251,0.0390625,0.12082342625376713
olivetti,1024,40,SAE_Init,0.33607115348180133,822,80.2734375,202,0.0390625,0.1357617592900106
olivetti,1024,40,SAE_AuxLoss,0.6514585614204407,843,82.32421875,181,0.0390625,0.12026209581787414
olivetti,1024,40,Complete,0.6721423069636027,822,80.2734375,202,0.0390625,0.1357617592900106
olivetti,1024,50,SAE,0.3150876661141713,740,72.265625,284,0.048828125,0.10904706146200778
olivetti,1024,50,SAE_Init,0.3251999815305074,754,73.6328125,270,0.048828125,0.12635008350566582
olivetti,1024,50,SAE_AuxLoss,0.6209299365679423,844,82.421875,180,0.048828125,0.10631517089075512
olivetti,1024,50,Complete,0.6503999630610148,754,73.6328125,270,0.048828125,0.12635008350566582
olivetti,1024,60,SAE,0.2985050876935323,724,70.703125,300,0.05859375,0.10065264657139777
olivetti,1024,60,SAE_Init,0.3130744695663452,704,68.75,320,0.05859375,0.12121949824504555
olivetti,1024,60,SAE_AuxLoss,0.5834920803705851,829,80.95703125,195,0.05859375,0.09735927681128184
olivetti,1024,60,Complete,0.6261489391326904,704,68.75,320,0.05859375,0.12121949824504555
olivetti,1024,70,SAE,0.2858814795811971,704,68.75,320,0.068359375,0.09182709321612492
olivetti,1024,70,SAE_Init,0.2976968288421631,652,63.671875,372,0.068359375,0.11770070888983306
olivetti,1024,70,SAE_AuxLoss,0.5710368553797404,819,79.98046875,205,0.068359375,0.08957486274402315
olivetti,1024,70,Complete,0.5953936576843262,652,63.671875,372,0.068359375,0.11770070888983306
olivetti,1024,80,SAE,0.27868297696113586,677,66.11328125,347,0.07807617,0.08315110787405748
olivetti,1024,80,SAE_Init,0.2851972182591756,633,61.81640625,391,0.078125,0.11306659227518169
olivetti,1024,80,SAE_AuxLoss,0.565662662188212,819,79.98046875,205,0.078125,0.08080706023951856
olivetti,1024,80,Complete,0.5703944365183512,633,61.81640625,391,0.078125,0.11306659227518169
olivetti,1024,90,SAE,0.2724451720714569,647,63.18359375,377,0.087594606,0.07535489447987996
olivetti,1024,90,SAE_Init,0.2780194878578186,611,59.66796875,413,0.087890625,0.10939381464630293
olivetti,1024,90,SAE_AuxLoss,0.5666395028432211,820,80.078125,204,0.087890625,0.07221988121084139
olivetti,1024,90,Complete,0.5560389757156372,611,59.66796875,413,0.087890625,0.10939381464630293
olivetti,1024,100,SAE,0.26831091443697613,646,63.0859375,378,0.09611817,0.06462154564787707
olivetti,1024,100,SAE_Init,0.26901517311731976,582,56.8359375,442,0.09765625,0.10689298788346856
olivetti,1024,100,SAE_AuxLoss,0.5761092901229858,809,79.00390625,215,0.09765625,0.06572071024498274
olivetti,1024,100,Complete,0.5380303462346395,582,56.8359375,442,0.09765625,0.10689298788346856
olivetti,1024,110,SAE,0.2657286673784256,634,61.9140625,390,0.10481262,0.05706577891340622
olivetti,1024,110,SAE_Init,0.2640153268973033,533,52.05078125,491,0.107421875,0.10459235767300891
olivetti,1024,110,SAE_AuxLoss,0.5921163360277811,808,78.90625,216,0.107421875,0.05946287350660121
olivetti,1024,110,Complete,0.5280306537946066,533,52.05078125,491,0.107421875,0.10459235767300891
olivetti,1024,120,SAE,0.27715375026067096,601,58.69140625,423,0.11341247,0.048794379209038355
olivetti,1024,120,SAE_Init,0.25730469822883606,494,48.2421875,530,0.1167633,0.10191987225750707
olivetti,1024,120,SAE_AuxLoss,0.6116954286893209,797,77.83203125,227,0.1171875,0.05447781713687638
olivetti,1024,120,Complete,0.5146093964576721,494,48.2421875,530,0.1167633,0.10191987225750707
lfw,512,5,SAE,0.5192636668682098,469,91.6015625,43,0.009765625,0.17131155781274618
lfw,512,5,SAE_Init,0.49136886596679685,434,84.765625,78,0.009765625,0.21000282542827803
lfw,512,5,SAE_AuxLoss,1.0754219174385071,483,94.3359375,29,0.009760778,0.1430606353899528
lfw,512,5,Complete,1.0045851230621339,435,84.9609375,77,0.009765625,0.20399252180155222
lfw,512,10,SAE,0.44983550906181335,480,93.75,32,0.01953125,0.109464067267254
lfw,512,10,SAE_Init,0.45836264491081236,411,80.2734375,101,0.01953125,0.16166225975692863
lfw,512,10,SAE_AuxLoss,0.9364784240722657,487,95.1171875,25,0.019371316,0.09857122421264648
lfw,512,10,Complete,0.9750061631202698,416,81.25,96,0.01953125,0.16098869980002442
lfw,512,20,SAE,0.37450621128082273,467,91.2109375,45,0.0390625,0.08171330442031224
lfw,512,20,SAE_Init,0.40051387548446654,405,79.1015625,107,0.0390625,0.1064541978395988
lfw,512,20,SAE_AuxLoss,0.7908128321170806,478,93.359375,34,0.03831695,0.08446905038812581
lfw,512,20,Complete,0.7714803814888,396,77.34375,116,0.0390625,0.10198398095009656
lfw,512,30,SAE,0.3262724280357361,462,90.234375,50,0.05859375,0.07884895026683808
lfw,512,30,SAE_Init,0.3381549596786499,402,78.515625,110,0.05859375,0.08285123644904657
lfw,512,30,SAE_AuxLoss,0.7081397950649262,464,90.625,48,0.056191523,0.07188503212334278
lfw,512,30,Complete,0.6815019130706788,405,79.1015625,107,0.05859375,0.08176491862145539
lfw,512,40,SAE,0.2936246573925018,453,88.4765625,59,0.078125,0.07718940963179378
lfw,512,40,SAE_Init,0.30556124448776245,409,79.8828125,103,0.078125,0.07622878615138601
lfw,512,40,SAE_AuxLoss,0.6519970774650574,447,87.3046875,65,0.07564926,0.06537219668165423
lfw,512,40,Complete,0.6070600926876069,411,80.2734375,101,0.078125,0.07654120651359606
lfw,512,50,SAE,0.2718802571296692,446,87.109375,66,0.09765625,0.07833933260178927
lfw,512,50,SAE_Init,0.27396807074546814,403,78.7109375,109,0.09765625,0.0742391306189222
lfw,512,50,SAE_AuxLoss,0.6032823324203491,433,84.5703125,78,0.094315425,0.05984855698158917
lfw,512,50,Complete,0.5435277223587036,403,78.7109375,109,0.09765625,0.07372088750841421
lfw,512,60,SAE,0.2862086951732635,439,85.7421875,73,0.11718749,0.0695744766917539
lfw,512,60,SAE_Init,0.2540859192609787,397,77.5390625,115,0.11718751,0.0736154317855835
lfw,512,60,SAE_AuxLoss,0.5905155599117279,397,77.5390625,104,0.11027241,0.04816064723560815
lfw,512,60,Complete,0.5021997332572937,398,77.734375,114,0.1171875,0.07316739559827144
lfw,512,70,SAE,0.2803362995386124,464,90.625,48,0.09243742,0.10008165348942082
lfw,512,70,SAE_Init,0.23386432379484176,385,75.1953125,127,0.13671875,0.07467568114282579
lfw,512,70,SAE_AuxLoss,0.565292501449585,355,69.3359375,140,0.12665021,0.03785637060864246
lfw,512,70,Complete,0.4671828210353851,385,75.1953125,127,0.13671875,0.07451598208368294
lfw,512,80,SAE,0.27070909142494204,460,89.84375,52,0.09873378,0.0956972209118808
lfw,512,80,SAE_Init,0.21820313930511476,383,74.8046875,129,0.15625,0.07626499873838684
lfw,512,80,SAE_AuxLoss,0.5425000071525574,322,62.890625,130,0.14030111,-0.007206164608046842
lfw,512,80,Complete,0.43792757391929626,381,74.4140625,131,0.15625,0.07490398072218167
lfw,512,90,SAE,0.2863124579191208,466,91.015625,46,0.08893504,0.09974877358130786
lfw,512,90,SAE_Init,0.2088233783841133,360,70.3125,152,0.17578125,0.07443589712248037
lfw,512,90,SAE_AuxLoss,0.46241657733917235,405,79.1015625,104,0.17550501,0.05900777852562337
lfw,512,90,Complete,0.4171880930662155,361,70.5078125,151,0.17578125,0.07388836938567114
lfw,512,100,SAE,0.2850343883037567,465,90.8203125,47,0.09094793,0.09894545122664025
lfw,512,100,SAE_Init,0.19709569215774536,352,68.75,160,0.1953125,0.07431841725483537
lfw,512,100,SAE_AuxLoss,0.4612992644309998,399,77.9296875,82,0.14965478,0.07277690401164497
lfw,512,100,Complete,0.3934508502483368,353,68.9453125,159,0.1953125,0.07442086519169733
lfw,512,110,SAE,0.29149043262004853,464,90.625,48,0.08561844,0.0909729884454767
lfw,512,110,SAE_Init,0.1886601597070694,339,66.2109375,173,0.21484375,0.07397721833791691
lfw,512,110,SAE_AuxLoss,0.49897052347660065,389,75.9765625,74,0.13528177,0.07509652306514515
lfw,512,110,Complete,0.3759071856737137,338,66.015625,174,0.21484375,0.07351065490223553
lfw,512,120,SAE,0.29688588082790374,466,91.015625,46,0.08301993,0.0915459977885526
lfw,512,120,SAE_Init,0.1795250207185745,325,63.4765625,187,0.234375,0.07392648907308591
lfw,512,120,SAE_AuxLoss,0.507235461473465,376,73.4375,77,0.13781565,0.0712987824597142
lfw,512,120,Complete,0.35731240212917326,325,63.4765625,187,0.234375,0.07313932617877257
lfw,1024,5,SAE,0.5226594686508179,984,96.09375,40,0.0048828125,0.19086574334651232
lfw,1024,5,SAE_Init,0.501463508605957,934,91.2109375,90,0.0048828125,0.21882482286956575
lfw,1024,5,SAE_AuxLoss,1.0731361508369446,990,96.6796875,34,0.004880389,0.17116881950813181
lfw,1024,5,Complete,0.9827825665473938,933,91.11328125,91,0.0048828125,0.2175995456975895
lfw,1024,10,SAE,0.45295044481754304,980,95.703125,44,0.009765625,0.12205793183635581
lfw,1024,10,SAE_Init,0.4743480086326599,886,86.5234375,138,0.009765625,0.16919463397800058
lfw,1024,10,SAE_AuxLoss,0.9462226927280426,984,96.09375,40,0.009693736,0.11809609634801746
lfw,1024,10,Complete,0.9254976749420166,895,87.40234375,129,0.009765625,0.16556128645821136
lfw,1024,20,SAE,0.3786966949701309,956,93.359375,68,0.01953125,0.08854068980059203
lfw,1024,20,SAE_Init,0.3905177116394043,914,89.2578125,110,0.01953125,0.10663845125924457
lfw,1024,20,SAE_AuxLoss,0.7811384499073029,970,94.7265625,54,0.019497324,0.0887507449283644
lfw,1024,20,Complete,0.7775520443916321,917,89.55078125,107,0.01953125,0.10162751515892064
lfw,1024,30,SAE,0.3396695226430893,938,91.6015625,86,0.029296875,0.08062364438245463
lfw,1024,30,SAE_Init,0.34400430619716643,911,88.96484375,113,0.029296875,0.08545962582647273
lfw,1024,30,SAE_AuxLoss,0.6868658781051635,954,93.1640625,70,0.029195908,0.07758252736447113
lfw,1024,30,Complete,0.676271116733551,907,88.57421875,117,0.029296875,0.08396944610608949
lfw,1024,40,SAE,0.30334786176681516,911,88.96484375,113,0.0390625,0.07077645078565167
lfw,1024,40,SAE_Init,0.30279995799064635,897,87.59765625,127,0.0390625,0.08289625871134555
lfw,1024,40,SAE_AuxLoss,0.6330879986286163,949,92.67578125,75,0.038911857,0.07743616482863823
lfw,1024,40,Complete,0.598281592130661,876,85.546875,148,0.0390625,0.07885807151025212
lfw,1024,50,SAE,0.2752756267786026,904,88.28125,120,0.048828125,0.069278918299824
lfw,1024,50,SAE_Init,0.2796320468187332,848,82.8125,176,0.048828125,0.07507697848433798
lfw,1024,50,SAE_AuxLoss,0.584980821609497,930,90.8203125,94,0.048595093,0.07054096744693023
lfw,1024,50,Complete,0.5547194540500641,820,80.078125,204,0.048828125,0.072937853999582
lfw,1024,60,SAE,0.2530694767832756,905,88.37890625,119,0.05859375,0.06739126815765846
lfw,1024,60,SAE_Init,0.2618575990200043,822,80.2734375,202,0.05859375,0.0702043689861156
